ID	name	movies_95_04	main_genre	genres
14482	"de la Huerta, Paz"	15	Drama	Drama:8,Fantasy:1,Romance:4,Sci-Fi:1,Short:1
605	"Dreger, Reg"	22	Drama	Action:1,Comedy:3,Crime:1,Drama:10,Family:1,Fantasy:1,Romance:3,Short:1,Thriller:1
6156	"Allen, Keith (I)"	31	Drama	Comedy:2,Documentary:2,Drama:13,Music:2,Mystery:1,NULL:6,Romance:2,Short:2,Thriller:1
7462	"Pilkington, Lorraine"	16	Drama	Adventure:1,Comedy:2,Crime:1,Drama:6,Mystery:1,NULL:2,Romance:1,Thriller:2
7068	"Zamprogna, Dominic"	12	Drama	Drama:5,Horror:1,NULL:1,Sci-Fi:2,Thriller:3
15295	"Máté, Gábor"	18	Romance	Comedy:4,Drama:4,NULL:5,Romance:4,Sci-Fi:1
264	"Brissart, Jean-Pol"	19	Drama	Comedy:2,Crime:1,Drama:5,NULL:7,Romance:2,Short:1,War:1
14619	"Martin-Laval, Pierre-François"	20	Comedy	Comedy:11,Crime:1,Family:2,NULL:5,Romance:1
8759	"Dean, Loren"	10	Drama	Comedy:1,Drama:3,Romance:3,Thriller:3
14481	"Shenkman, Ben (II)"	19	Drama	Comedy:3,Crime:1,Drama:6,Family:1,Romance:3,Sci-Fi:1,Short:2,Thriller:2
2150	"De La Boulaye, Agathe"	22	Drama	Action:1,Comedy:1,Drama:4,Family:1,NULL:11,Romance:2,Sci-Fi:1,War:1
15939	"Marecek, Heinz"	13	Crime	Comedy:1,Crime:3,Drama:2,Family:1,NULL:6
8741	"Van Der Beek, James"	13	Drama	Comedy:2,Documentary:2,Drama:3,Family:1,Music:2,Romance:1,Short:1,Thriller:1
14575	"Todor, Eva"	10	Family	Documentary:1,Family:1,NULL:7,Romance:1
13777	"Friis-Mikkelsen, Jarl"	17	Music	Comedy:2,Documentary:1,Drama:1,Family:4,Music:4,NULL:3,Short:2
1394	"Thornton, Kirk"	88	Sci-Fi	Action:10,Adventure:1,Animation:14,Comedy:3,Crime:2,Drama:3,Family:2,Fantasy:10,Horror:2,Mystery:1,NULL:7,Romance:7,Sci-Fi:22,Short:2,Thriller:1,Western:1
1471	"Hostina, Emil"	10	Drama	Crime:1,Drama:5,Sci-Fi:1,Thriller:1,War:2
8382	"Stadlober, Robert"	23	Drama	Adult:1,Comedy:2,Crime:3,Documentary:1,Drama:7,Horror:1,Romance:3,Short:2,Thriller:3
12354	"Trentalance, Franco"	13	Adult	Adult:12,Comedy:1
10836	"Bojórquez, Freddy"	12	Action	Action:10,Drama:1,Thriller:1
6983	"Kanakaredes, Melina"	11	Drama	Drama:7,NULL:2,Romance:1,Thriller:1
1437	"Sims, Joan"	10	Crime	Crime:1,Documentary:6,Drama:1,Family:1,NULL:1
9926	"Punzano, Pilar"	13	Comedy	Comedy:3,Family:1,NULL:2,Romance:2,Short:3,Thriller:2
7966	"Cariou, Len"	17	Drama	Comedy:1,Crime:1,Documentary:1,Drama:6,Horror:1,NULL:2,Thriller:4,War:1
13391	"Stewart, Sara"	11	Thriller	Adventure:1,Drama:3,NULL:2,Romance:1,Short:1,Thriller:3
2147	"Lentini, Marie-Hélène"	10	Comedy	Comedy:3,NULL:4,Short:3
2309	"Bionca"	39	Adult	Adult:27,Documentary:3,Drama:1,NULL:8
10653	"Freeman, Kathleen (I)"	13	Romance	Animation:1,Comedy:3,Documentary:1,Family:1,Fantasy:1,Music:2,Musical:1,Romance:3
14664	"Bouvet, Jean-Christophe"	44	Comedy	Comedy:15,Drama:5,Fantasy:1,NULL:11,Romance:3,Short:8,Thriller:1
13615	"Saint, Bonita"	15	Adult	Adult:10,NULL:5
15457	"Warner, Amelia"	10	Drama	Drama:5,Romance:2,Short:2,Thriller:1
1305	"Mitsuishi, Kotono"	36	Animation	Action:2,Adventure:1,Animation:9,Comedy:3,Drama:2,Fantasy:6,Horror:1,NULL:3,Romance:2,Sci-Fi:4,Short:2,Thriller:1
5206	"Quinteros, Lorenzo"	14	Drama	Comedy:1,Documentary:1,Drama:9,Sci-Fi:1,Short:1,Thriller:1
13778	"Bro, Vigga"	12	Family	Comedy:1,Drama:2,Family:2,NULL:4,Romance:1,Sci-Fi:1,Thriller:1
13011	"Ciccero, Mia"	15	Adult	Adult:12,NULL:2,Thriller:1
3561	"Mane, Tyler"	10	Sci-Fi	Adventure:1,Drama:1,Horror:1,Romance:2,Sci-Fi:2,Short:2,Thriller:1
11356	"Roberts, Bret"	12	Drama	Comedy:1,Crime:1,Drama:5,Horror:1,NULL:1,Romance:1,Short:1,Thriller:1
8728	"Scolari, Peter"	12	Family	Animation:1,Comedy:2,Documentary:2,Drama:1,Family:2,Music:1,NULL:1,Short:1,Thriller:1
15781	"Perrineau Jr., Harold"	19	Drama	Documentary:1,Drama:6,Romance:4,Sci-Fi:2,Short:2,Thriller:4
4877	"Lapotaire, Jane"	12	Drama	Documentary:2,Drama:4,Fantasy:1,Mystery:2,NULL:1,Romance:2
16889	"Cheng, Ronald"	12	Romance	Comedy:2,Drama:1,NULL:3,Romance:5,Thriller:1
15372	"Sykes, Eric"	10	Mystery	Comedy:1,Documentary:5,Mystery:1,NULL:2,Short:1
5438	"Norris, Tony (I)"	13	Action	Action:9,Drama:1,NULL:2,Thriller:1
237	"Elso, Pascal"	45	Drama	Comedy:4,Crime:1,Drama:8,Family:1,Fantasy:1,NULL:27,Romance:1,Short:1,Thriller:1
15094	"Atkinson, Ron (II)"	10	Drama	Documentary:6,Drama:1,NULL:3
5497	"Scaggs, Charles"	19	Action	Action:7,Adult:1,Documentary:1,NULL:9,Thriller:1
9612	"Melingo, Marcelo"	16	Romance	Animation:1,Comedy:3,Drama:4,Romance:7,Thriller:1
17223	"Sweet, Monica (II)"	32	Adult	Adult:27,NULL:5
17049	"Mäkelä, Vesa (I)"	16	Drama	Comedy:2,Drama:7,NULL:4,Romance:2,Short:1
9767	"Santiago, Zak"	15	Comedy	Action:1,Adventure:1,Comedy:4,Crime:2,Drama:1,Fantasy:1,Horror:1,Music:1,Mystery:1,NULL:1,Thriller:1
12712	"Greiling, Michael"	38	Crime	Action:2,Comedy:1,Crime:12,Drama:9,Family:1,NULL:6,Romance:2,Short:1,Thriller:4
8599	"Callahan, Dick"	13	Drama	Action:1,Comedy:1,Drama:7,Family:1,NULL:1,Thriller:2
14957	"Verma, Rajeev"	14	Romance	Drama:2,Family:1,NULL:2,Romance:8,Sci-Fi:1
12294	"Sukowa, Barbara"	13	Drama	Documentary:1,Drama:6,NULL:1,Romance:2,Thriller:3
14404	"McConnell, John (I)"	15	Drama	Action:1,Comedy:2,Drama:7,Music:1,Romance:2,Sci-Fi:1,Thriller:1
6892	"Holden, Arthur (I)"	26	Family	Action:1,Adventure:1,Animation:2,Comedy:1,Crime:1,Drama:2,Family:3,Fantasy:2,Horror:1,Musical:1,NULL:5,Sci-Fi:1,Short:1,Thriller:3,War:1
